#Const,HR1,RA1,Dec1,Mag1,HR2,RA2,Dec2,Mag2
And,15,2.097083,29.090556,2.06,165,9.832083,30.860833,3.27
And,68,4.582083,36.785278,4.52,154,9.220417,33.719444,4.36
And,68,4.582083,36.785278,4.52,8965,354.534167,43.268056,4.29
And,154,9.220417,33.719444,4.36,165,9.832083,30.860833,3.27
And,154,9.220417,33.719444,4.36,337,17.432917,35.620556,2.06
And,163,9.638750,29.311667,4.37,165,9.832083,30.860833,3.27
And,163,9.638750,29.311667,4.37,215,11.834583,24.267222,4.06
And,165,9.832083,30.860833,3.27,337,17.432917,35.620556,2.06
And,215,11.834583,24.267222,4.06,271,14.301667,23.417500,4.42
And,226,12.453333,41.078889,4.53,269,14.188333,38.499444,3.87
And,226,12.453333,41.078889,4.53,335,17.375833,47.241944,4.25
And,269,14.188333,38.499444,3.87,337,17.432917,35.620556,2.06
And,335,17.375833,47.241944,4.25,464,24.498333,48.628333,3.57
And,337,17.432917,35.620556,2.06,604,30.977917,42.330833,4.84
And,8762,345.480417,42.326111,3.62,8965,354.534167,43.268056,4.29
And,8961,354.391250,46.458056,3.82,8976,355.102083,44.333889,4.14
And,8965,354.534167,43.268056,4.29,8976,355.102083,44.333889,4.14
Ant,3765,142.311250,-35.951389,4.51,4104,156.787917,-31.067778,4.25
Ant,4104,156.787917,-31.067778,4.25,4273,164.179583,-37.137778,4.60
Aps,5470,221.965000,-79.044722,3.83,6020,245.086667,-78.695833,4.68
Aps,6020,245.086667,-78.695833,4.68,6102,248.362500,-78.897222,3.89
Aps,6020,245.086667,-78.695833,4.68,6163,250.769167,-77.517500,4.24
Aps,6102,248.362500,-78.897222,3.89,6163,250.769167,-77.517500,4.24
Aql,7176,284.905833,15.068333,4.02,7235,286.352500,13.863333,2.99
Aql,7193,285.420000,-5.738889,4.02,7236,286.562083,-4.882500,3.44
Aql,7235,286.352500,13.863333,2.99,7236,286.562083,-4.882500,3.44
Aql,7235,286.352500,13.863333,2.99,7377,291.374583,3.114722,3.36
Aql,7236,286.562083,-4.882500,3.44,7377,291.374583,3.114722,3.36
Aql,7236,286.562083,-4.882500,3.44,7447,294.180417,-1.286389,4.36
Aql,7377,291.374583,3.114722,3.36,7525,296.565000,10.613333,2.72
Aql,7377,291.374583,3.114722,3.36,7570,298.118333,1.005556,3.90
Aql,7447,294.180417,-1.286389,4.36,7710,302.826250,-0.821389,3.23
Aql,7525,296.565000,10.613333,2.72,7557,297.695833,8.868333,0.77
Aql,7557,297.695833,8.868333,0.77,7602,298.828333,6.406667,3.71
Aql,7570,298.118333,1.005556,3.90,7710,302.826250,-0.821389,3.23
Aqr,7950,311.919167,-9.495833,3.77,7990,313.163333,-8.983333,4.73
Aqr,7990,313.163333,-8.983333,4.73,8232,322.889583,-5.571111,2.91
Aqr,8232,322.889583,-5.571111,2.91,8414,331.445833,-0.319722,2.96
Aqr,8232,322.889583,-5.571111,2.91,8418,331.609167,-13.869722,4.27
Aqr,8414,331.445833,-0.319722,2.96,8499,334.208333,-7.783333,4.16
Aqr,8414,331.445833,-0.319722,2.96,8518,335.414167,-1.387222,3.84
Aqr,8414,331.445833,-0.319722,2.96,8539,336.319167,1.377500,4.66
Aqr,8499,334.208333,-7.783333,4.16,8698,343.153750,-7.579722,3.74
Aqr,8518,335.414167,-1.387222,3.84,8558,337.207083,-0.020278,4.59
Aqr,8539,336.319167,1.377500,4.66,8558,337.207083,-0.020278,4.59
Aqr,8558,337.207083,-0.020278,4.59,8597,338.839167,-0.117500,4.02
Aqr,8679,342.397917,-13.592500,4.01,8698,343.153750,-7.579722,3.74
Aqr,8679,342.397917,-13.592500,4.01,8709,343.662500,-15.820833,3.27
Aqr,8698,343.153750,-7.579722,3.74,8834,348.580833,-6.048889,4.22
Aqr,8709,343.662500,-15.820833,3.27,8858,349.475833,-9.182500,4.39
Aqr,8834,348.580833,-6.048889,4.22,8858,349.475833,-9.182500,4.39
Aqr,8858,349.475833,-9.182500,4.39,8892,350.742500,-20.100556,3.97
Ara,6229,252.446250,-59.041389,3.76,6285,254.655000,-55.990278,3.13
Ara,6229,252.446250,-59.041389,3.76,6500,262.774583,-60.683889,3.62
Ara,6285,254.655000,-55.990278,3.13,6295,254.896250,-53.160556,4.06
Ara,6295,254.896250,-53.160556,4.06,6510,262.960417,-49.876111,2.95
Ara,6461,261.325000,-55.530000,2.85,6462,261.348333,-56.377500,3.34
Ara,6461,261.325000,-55.530000,2.85,6510,262.960417,-49.876111,2.95
Ara,6462,261.348333,-56.377500,3.34,6500,262.774583,-60.683889,3.62
Ara,6510,262.960417,-49.876111,2.95,6743,271.657917,-50.091667,3.66
Ari,546,28.382500,19.293611,4.75,553,28.660000,20.808056,2.64
Ari,553,28.660000,20.808056,2.64,617,31.793333,23.462500,2.00
Ari,617,31.793333,23.462500,2.00,838,42.495833,27.260556,3.63
Aur,1577,74.248333,33.166111,2.69,1641,76.628750,41.234444,3.17
Aur,1577,74.248333,33.166111,2.69,1791,81.572917,28.607500,1.65
Aur,1605,75.492083,43.823333,2.99,1612,75.619583,41.075833,3.75
Aur,1605,75.492083,43.823333,2.99,1708,79.172500,45.998056,0.08
Aur,1641,76.628750,41.234444,3.17,1708,79.172500,45.998056,0.08
Aur,1708,79.172500,45.998056,0.08,2088,89.882083,44.947500,1.90
Aur,1791,81.572917,28.607500,1.65,2095,89.930417,37.212500,2.62
Aur,2077,89.881667,54.284722,3.72,2088,89.882083,44.947500,1.90
Aur,2088,89.882083,44.947500,1.90,2095,89.930417,37.212500,2.62
Boo,5235,208.671250,18.397778,2.68,5340,213.915417,19.182500,-0.04
Boo,5329,213.370833,51.790278,4.54,5351,214.095833,46.088333,4.18
Boo,5329,213.370833,51.790278,4.54,5404,216.299167,51.850833,4.05
Boo,5340,213.915417,19.182500,-0.04,5429,217.957500,30.371389,3.58
Boo,5340,213.915417,19.182500,-0.04,5478,220.287083,13.728333,4.43
Boo,5340,213.915417,19.182500,-0.04,5506,221.246667,27.074167,2.70
Boo,5351,214.095833,46.088333,4.18,5404,216.299167,51.850833,4.05
Boo,5351,214.095833,46.088333,4.18,5435,218.019583,38.308333,3.03
Boo,5429,217.957500,30.371389,3.58,5435,218.019583,38.308333,3.03
Boo,5435,218.019583,38.308333,3.03,5602,225.486667,40.390556,3.50
Boo,5506,221.246667,27.074167,2.70,5681,228.875833,33.314722,3.47
Boo,5602,225.486667,40.390556,3.50,5681,228.875833,33.314722,3.47
CMa,2294,95.675000,-17.955833,1.98,2429,99.170833,-19.255833,3.95
CMa,2294,95.675000,-17.955833,1.98,2491,101.287083,-16.716111,-1.46
CMa,2429,99.170833,-19.255833,3.95,2580,103.532917,-24.183889,3.87
CMa,2491,101.287083,-16.716111,-1.46,2596,104.034167,-17.054167,4.37
CMa,2491,101.287083,-16.716111,-1.46,2653,105.756250,-23.833333,3.02
CMa,2574,103.547500,-12.038611,4.07,2596,104.034167,-17.054167,4.37
CMa,2574,103.547500,-12.038611,4.07,2657,105.939583,-15.633333,4.12
CMa,2580,103.532917,-24.183889,3.87,2618,104.656250,-28.972222,1.50
CMa,2596,104.034167,-17.054167,4.37,2657,105.939583,-15.633333,4.12
CMa,2618,104.656250,-28.972222,1.50,2693,107.097917,-26.393333,1.84
CMa,2653,105.756250,-23.833333,3.02,2693,107.097917,-26.393333,1.84
CMa,2693,107.097917,-26.393333,1.84,2827,111.023750,-29.303056,2.45
CMi,2845,111.787500,8.289444,2.90,2943,114.825417,5.225000,0.38
CVn,4785,188.435417,41.357500,4.26,4915,194.007083,38.318333,2.90
Cae,1443,67.708750,-44.953889,5.07,1502,70.140417,-41.863889,4.45
Cae,1502,70.140417,-41.863889,4.45,1503,70.514583,-37.144444,5.05
Cae,1503,70.514583,-37.144444,5.05,1652,76.101667,-35.483333,4.55
Cam,1035,52.267083,59.940278,4.21,1155,57.380000,65.526111,4.47
Cam,1148,57.589583,71.332222,4.63,1155,57.380000,65.526111,4.47
Cam,1148,57.589583,71.332222,4.63,1542,73.512500,66.342778,4.29
Cam,1542,73.512500,66.342778,4.29,1603,75.854583,60.442222,4.03
Cam,1568,74.321667,53.752222,4.47,1603,75.854583,60.442222,4.03
Cam,1603,75.854583,60.442222,4.03,2209,94.711667,69.319722,4.80
Cam,2209,94.711667,69.319722,4.80,2527,105.016667,76.977500,4.55
Cap,7747,304.412083,-12.508333,4.24,7776,305.252917,-14.781389,3.08
